// This is a test
Basic Toolbox drawer|||基本（Basic）メニュー  // This should work too
Basic menu|||基本（Basic）メニュー
	‘show number’|||「数を表示（show number）」
	‘show leds’|||「LEDに表示（show leds）」
	‘show icon’|||「アイコンを表示（show icon）」
	‘show string’|||「文字列を表示（show string）」
	‘forever’|||「ずっと（forever）」
	‘pause (ms)’|||「一時停止（ミリ秒）（pause (ms)）」
	‘on start’|||「最初だけ（on start）」
	
Basic More Toolbox drawer|||基本（Basic）-> さらに表示 メニュー
	‘clear screen’|||「表示を消す（clear screen）」
	‘show arrow’|||「矢印を表示（show arrow）」
	
Input Toolbox drawer|||入力(Input)メニュー
Input menu|||入力(Input)メニュー
	‘on button A pressed’|||「ボタンAが押されたとき（on button A pressed）」
	‘one shake’|||「ゆさぶられたとき（one shake）」
	‘on pin P0 pressed’|||「端子P0がタッチされたとき（on pin P0 pressed）」
	‘button A is pressed’|||「ボタンAが押されている（button A is pressed）」
	‘pin P0’|||「端子P0がタッチされている（pin P0）」
	‘acceleration (mg)’|||「加速度（ミリG）（acceleration (mg)）」
	‘light level’|||「明るさ（light level）」
	‘compass heading’|||「方角（compass heading）」
	‘temperature’|||「温度（temperature）」

Input More Toolbox drawer|||入力（Input）-> さらに表示 メニュー
	‘rotation’|||「傾斜（rotation）」
	‘magnetic force’|||「磁力（magnetic force）」
	‘running time (ms)’|||「稼働時間（ミリ秒）（running time (ms)）」
	‘calibrate compass’|||「コンパスを調整する（calibrate compass）」
	‘running time (micros)’|||「経過時間（マイクロ秒）（running time (micros)）」
	‘on pin P0 released’|||「端子P0がタッチされなくなったとき（on pin P0 released）」
	‘set accelerometer range 1g’|||「加速度センサーの計測範囲を設定する１G（set accelerometer range 1g）」


Music Toolbox drawer|||音楽(Music)メニュー
Music menu|||音楽(Music)メニュー
	‘play tone’|||「音を鳴らす（play tone）」
	‘ring tone’|||「音を鳴らす（Hz)（ring tone）」
	‘rest’|||「休符（ミリ秒）（rest）」
	‘start melody’|||「メロディを開始する（start melody）」
	‘music one’|||「音楽 メロディの音を出した（music one）」
	‘Middle C’|||「真ん中のド（Middle C）」
	‘1 beat’|||「1泊（1 beat）」
